"image","mask","has_defect"
"train/10000.png","train/10000_GT.png","0"
"train/10001.png","train/10001_GT.png","0"
"train/10002.png","train/10002_GT.png","0"
"train/10003.png","train/10003_GT.png","0"
"train/10004.png","train/10004_GT.png","0"
"train/10005.png","train/10005_GT.png","0"
"train/10006.png","train/10006_GT.png","0"
"train/10007.png","train/10007_GT.png","0"
"train/10008.png","train/10008_GT.png","0"
"train/10009.png","train/10009_GT.png","0"
"train/10011.png","train/10011_GT.png","0"
"train/10012.png","train/10012_GT.png","0"
"train/10013.png","train/10013_GT.png","0"
"train/10014.png","train/10014_GT.png","0"
"train/10015.png","train/10015_GT.png","0"
"train/10016.png","train/10016_GT.png","0"
"train/10019.png","train/10019_GT.png","0"
"train/10020.png","train/10020_GT.png","0"
"train/10022.png","train/10022_GT.png","0"
"train/10023.png","train/10023_GT.png","0"
"train/10024.png","train/10024_GT.png","0"
"train/10026.png","train/10026_GT.png","0"
"train/10027.png","train/10027_GT.png","0"
"train/10030.png","train/10030_GT.png","0"
"train/10031.png","train/10031_GT.png","0"
"train/10032.png","train/10032_GT.png","0"
"train/10033.png","train/10033_GT.png","0"
"train/10035.png","train/10035_GT.png","0"
"train/10036.png","train/10036_GT.png","0"
"train/10037.png","train/10037_GT.png","0"
"train/10038.png","train/10038_GT.png","0"
"train/10039.png","train/10039_GT.png","0"
"train/10040.png","train/10040_GT.png","0"
"train/10041.png","train/10041_GT.png","0"
"train/10042.png","train/10042_GT.png","0"
"train/10043.png","train/10043_GT.png","0"
"train/10044.png","train/10044_GT.png","0"
"train/10046.png","train/10046_GT.png","0"
"train/10047.png","train/10047_GT.png","1"
"train/10048.png","train/10048_GT.png","0"
"train/10050.png","train/10050_GT.png","0"
"train/10051.png","train/10051_GT.png","0"
"train/10052.png","train/10052_GT.png","0"
"train/10054.png","train/10054_GT.png","0"
"train/10055.png","train/10055_GT.png","0"
"train/10056.png","train/10056_GT.png","0"
"train/10058.png","train/10058_GT.png","0"
"train/10060.png","train/10060_GT.png","1"
"train/10061.png","train/10061_GT.png","0"
"train/10062.png","train/10062_GT.png","0"
"train/10063.png","train/10063_GT.png","0"
"train/10064.png","train/10064_GT.png","0"
"train/10065.png","train/10065_GT.png","1"
"train/10066.png","train/10066_GT.png","0"
"train/10068.png","train/10068_GT.png","0"
"train/10069.png","train/10069_GT.png","0"
"train/10070.png","train/10070_GT.png","0"
"train/10071.png","train/10071_GT.png","0"
"train/10072.png","train/10072_GT.png","0"
"train/10073.png","train/10073_GT.png","0"
"train/10074.png","train/10074_GT.png","0"
"train/10075.png","train/10075_GT.png","0"
"train/10077.png","train/10077_GT.png","0"
"train/10078.png","train/10078_GT.png","0"
"train/10079.png","train/10079_GT.png","0"
"train/10080.png","train/10080_GT.png","0"
"train/10082.png","train/10082_GT.png","0"
"train/10083.png","train/10083_GT.png","0"
"train/10084.png","train/10084_GT.png","1"
"train/10085.png","train/10085_GT.png","0"
"train/10086.png","train/10086_GT.png","0"
"train/10087.png","train/10087_GT.png","0"
"train/10088.png","train/10088_GT.png","0"
"train/10089.png","train/10089_GT.png","0"
"train/10090.png","train/10090_GT.png","1"
"train/10091.png","train/10091_GT.png","0"
"train/10093.png","train/10093_GT.png","0"
"train/10094.png","train/10094_GT.png","0"
"train/10096.png","train/10096_GT.png","0"
"train/10099.png","train/10099_GT.png","0"
"train/10101.png","train/10101_GT.png","0"
"train/10102.png","train/10102_GT.png","0"
"train/10103.png","train/10103_GT.png","0"
"train/10104.png","train/10104_GT.png","0"
"train/10105.png","train/10105_GT.png","0"
"train/10106.png","train/10106_GT.png","0"
"train/10107.png","train/10107_GT.png","0"
"train/10108.png","train/10108_GT.png","0"
"train/10109.png","train/10109_GT.png","0"
"train/10110.png","train/10110_GT.png","0"
"train/10111.png","train/10111_GT.png","0"
"train/10112.png","train/10112_GT.png","0"
"train/10113.png","train/10113_GT.png","0"
"train/10114.png","train/10114_GT.png","0"
"train/10115.png","train/10115_GT.png","0"
"train/10117.png","train/10117_GT.png","0"
"train/10118.png","train/10118_GT.png","0"
"train/10119.png","train/10119_GT.png","0"
"train/10120.png","train/10120_GT.png","0"
"train/10121.png","train/10121_GT.png","0"
"train/10123.png","train/10123_GT.png","0"
"train/10124.png","train/10124_GT.png","0"
"train/10125.png","train/10125_GT.png","0"
"train/10126.png","train/10126_GT.png","0"
"train/10127.png","train/10127_GT.png","0"
"train/10128.png","train/10128_GT.png","0"
"train/10129.png","train/10129_GT.png","0"
"train/10131.png","train/10131_GT.png","0"
"train/10132.png","train/10132_GT.png","0"
"train/10133.png","train/10133_GT.png","0"
"train/10134.png","train/10134_GT.png","0"
"train/10135.png","train/10135_GT.png","1"
"train/10136.png","train/10136_GT.png","0"
"train/10137.png","train/10137_GT.png","0"
"train/10138.png","train/10138_GT.png","0"
"train/10139.png","train/10139_GT.png","0"
"train/10140.png","train/10140_GT.png","0"
"train/10141.png","train/10141_GT.png","0"
"train/10143.png","train/10143_GT.png","0"
"train/10144.png","train/10144_GT.png","0"
"train/10145.png","train/10145_GT.png","1"
"train/10146.png","train/10146_GT.png","0"
"train/10147.png","train/10147_GT.png","0"
"train/10149.png","train/10149_GT.png","0"
"train/10150.png","train/10150_GT.png","0"
"train/10151.png","train/10151_GT.png","0"
"train/10152.png","train/10152_GT.png","0"
"train/10153.png","train/10153_GT.png","0"
"train/10154.png","train/10154_GT.png","0"
"train/10155.png","train/10155_GT.png","0"
"train/10156.png","train/10156_GT.png","0"
"train/10157.png","train/10157_GT.png","1"
"train/10158.png","train/10158_GT.png","0"
"train/10159.png","train/10159_GT.png","1"
"train/10160.png","train/10160_GT.png","0"
"train/10161.png","train/10161_GT.png","0"
"train/10162.png","train/10162_GT.png","0"
"train/10163.png","train/10163_GT.png","0"
"train/10164.png","train/10164_GT.png","0"
"train/10165.png","train/10165_GT.png","0"
"train/10166.png","train/10166_GT.png","0"
"train/10167.png","train/10167_GT.png","0"
"train/10168.png","train/10168_GT.png","0"
"train/10169.png","train/10169_GT.png","0"
"train/10170.png","train/10170_GT.png","0"
"train/10171.png","train/10171_GT.png","0"
"train/10172.png","train/10172_GT.png","0"
"train/10174.png","train/10174_GT.png","0"
"train/10175.png","train/10175_GT.png","0"
"train/10176.png","train/10176_GT.png","0"
"train/10177.png","train/10177_GT.png","0"
"train/10178.png","train/10178_GT.png","0"
"train/10179.png","train/10179_GT.png","0"
"train/10180.png","train/10180_GT.png","0"
"train/10181.png","train/10181_GT.png","0"
"train/10183.png","train/10183_GT.png","0"
"train/10184.png","train/10184_GT.png","0"
"train/10186.png","train/10186_GT.png","0"
"train/10187.png","train/10187_GT.png","0"
"train/10188.png","train/10188_GT.png","0"
"train/10189.png","train/10189_GT.png","0"
"train/10190.png","train/10190_GT.png","0"
"train/10191.png","train/10191_GT.png","0"
"train/10192.png","train/10192_GT.png","0"
"train/10193.png","train/10193_GT.png","0"
"train/10197.png","train/10197_GT.png","0"
"train/10199.png","train/10199_GT.png","0"
"train/10200.png","train/10200_GT.png","0"
"train/10202.png","train/10202_GT.png","0"
"train/10203.png","train/10203_GT.png","0"
"train/10204.png","train/10204_GT.png","0"
"train/10205.png","train/10205_GT.png","0"
"train/10206.png","train/10206_GT.png","1"
"train/10207.png","train/10207_GT.png","0"
"train/10208.png","train/10208_GT.png","1"
"train/10209.png","train/10209_GT.png","0"
"train/10210.png","train/10210_GT.png","0"
"train/10211.png","train/10211_GT.png","0"
"train/10214.png","train/10214_GT.png","0"
"train/10216.png","train/10216_GT.png","0"
"train/10217.png","train/10217_GT.png","0"
"train/10219.png","train/10219_GT.png","0"
"train/10220.png","train/10220_GT.png","0"
"train/10221.png","train/10221_GT.png","0"
"train/10222.png","train/10222_GT.png","0"
"train/10223.png","train/10223_GT.png","1"
"train/10225.png","train/10225_GT.png","0"
"train/10227.png","train/10227_GT.png","0"
"train/10229.png","train/10229_GT.png","0"
"train/10231.png","train/10231_GT.png","0"
"train/10233.png","train/10233_GT.png","0"
"train/10234.png","train/10234_GT.png","0"
"train/10235.png","train/10235_GT.png","1"
"train/10236.png","train/10236_GT.png","0"
"train/10237.png","train/10237_GT.png","0"
